query_term,status,cid,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,url,alkyne,notes
cyclooctyne,found,137207.0,,,C8H12,108.18,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/cyclooctyne/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight/JSON",OCT,Verify that the returned structure matches the reaction scaffold.
aryl-less cyclooctyne,http_error_404,,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/aryl-less%20cyclooctyne/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight/JSON",ALO,PubChem may not resolve this abbreviation directly.
monofluorinated cyclooctyne,http_error_404,,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/monofluorinated%20cyclooctyne/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight/JSON",MOFO,PubChem may not resolve this abbreviation directly.
difluorinated cyclooctyne,http_error_404,,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/difluorinated%20cyclooctyne/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight/JSON",DIFO,Check exact DIFO generation and substituent pattern.
dibenzocyclooctyne,found,89780278.0,,,C16H12,204.27,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/dibenzocyclooctyne/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight/JSON",DIBO,Check whether DIBO and DBCO are treated separately in the source.
biarylazacyclooctynone,http_error_404,,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/biarylazacyclooctynone/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight/JSON",BARAC,Check exact BARAC derivative.
azadibenzocyclooctyne,http_error_404,,,,,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/azadibenzocyclooctyne/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight/JSON",DIBAC or ADIBO,Check abbreviation and derivative identity.
dimethoxyazacyclooctyne,found,118049866.0,,,C9H15NO2,169.22,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/dimethoxyazacyclooctyne/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight/JSON",DIMAC,Check exact hydrophilic azacyclooctyne structure.
